* Sample of n-grams (top 50,000 words, where the first word in the string starts with "m")
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete n-grams data from COCA, please see https://www.ngrams.info
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp. This is format #2 on that page.
----- Before converting file to Excel, remove the first seven lines, with the first line being the one starting with "rank"

29207	m	)	(	m	z	)	(	z
9887	me	.	i	'm	p	.	p	v
9135	most	of	the	time	d	i	a	n
8051	me	.	"	<p>	p	y	y	y
6403	might	be	able	to	v	v	j	t
6333	middle	of	the	night	n	i	a	n
5905	may	or	may	not	v	c	v	x
5380	more	likely	to	be	r	j	t	v
5275	me	.	it	's	p	.	p	v
5181	mean	,	it	's	v	,	p	v
4878	may	be	able	to	v	v	j	t
4599	me	,	and	i	p	y	c	p
4433	more	than	half	of	d	c	d	i
4254	mean	,	it	's	v	y	p	v
4180	my	husband	and	i	a	n	c	p
3838	me	,	too	.	p	,	r	.
3682	me	.	"	"	p	y	y	y
3651	more	than	a	decade	d	c	a	n
3597	more	than	a	year	d	c	a	n
3537	my	wife	and	i	a	n	c	p
3500	me	.	oh	,	p	.	u	,
3433	more	than	a	few	d	c	a	d
3389	me	.	i	do	p	.	p	v
3265	me	.	-	i	#	#	-	p
3185	me	.	well	,	p	.	r	,
3175	me	,	"	he	p	y	y	p
2990	me	.	you	're	p	.	p	v
2915	me	.	i	'm	p	y	p	v
2902	make	it	to	the	v	p	i	a
2861	me	.	<p>	i	p	y	y	p
2861	more	often	than	not	r	r	c	x
2829	make	sure	that	the	v	j	c	a
2827	me	tell	you	something	p	v	p	p
2807	matter	of	fact	,	n	j	n	y
2804	may	not	be	the	v	x	v	a
2799	me	,	and	i	p	,	c	p
2767	my	life	.	i	a	n	y	p
2667	make	a	lot	of	v	a	n	i
2623	me	.	that	's	p	.	d	v
2602	men	and	women	who	n	c	n	p
2598	me	,	but	i	p	y	c	p
2591	my	god	.	-	a	n	.	-
2574	me	?	i	'm	p	?	p	v
2547	most	of	the	people	d	i	a	n
2468	me	,	i	'm	p	,	p	v
2428	most	people	do	n't	d	n	v	x
2426	me	,	"	she	p	y	y	p
2425	made	it	clear	that	v	p	j	c
2402	martin	luther	king	jr	n	v	n	n
2392	made	it	to	the	v	p	i	a
2390	me	.	<p>	"	p	y	y	y
2378	may	not	be	able	v	x	v	j
2370	my	god	.	i	a	n	.	p
2369	moment	.	commercial	break	n	y	j	n
2353	mean	,	i	'm	v	,	p	v
2348	more	than	just	a	d	c	r	a
2309	may	not	have	been	v	x	v	v
2252	man	.	i	'm	n	.	p	v
2215	made	a	lot	of	v	a	n	i
2210	most	of	all	,	d	i	d	y
2207	make	sure	that	you	v	j	c	p
2165	my	life	.	i	a	n	.	p
2160	mean	,	that	's	v	y	d	v
2154	more	than	20	years	d	c	m	n
2152	me	.	it	's	p	y	p	v
2143	me	.	you	know	p	.	p	v
2134	make	a	difference	.	v	a	n	y
